semilla,type,auc,ganancia
943165,train,0.807112557870701,2636250
943165,test,0.79800715228264,751250
433089,train,0.813973207619616,2567500
433089,test,0.78113045535195,646250
646686,train,0.812308429947031,2723750
646686,test,0.772232915788138,325000
421880,train,0.810842667889045,4092500
421880,test,0.778149143210783,870000
212941,train,0.802137705840409,2188750
212941,test,0.793597490612828,1055000
619097,train,0.806516733495314,2480000
619097,test,0.782448095542129,710000
643508,train,0.797100160246543,2597500
643508,test,0.78174430264938,647500
223196,train,0.803390949054717,2317500
223196,test,0.771936220886047,1051250
344194,train,0.810508821859189,3436250
344194,test,0.796438448425312,836250
466324,train,0.814640641727279,2561250
466324,test,0.782040660676582,776250
559889,train,0.799221428933683,3378750
559889,test,0.819934308171678,938750
426105,train,0.809220413051216,2471250
426105,test,0.792920831461126,952500
887463,train,0.804853425027885,2438750
887463,test,0.798305500934185,622500
575670,train,0.731262839703504,2630000
575670,test,0.68515942389739,772500
341712,train,0.806655410760714,2372500
341712,test,0.800576007059918,837500
511553,train,0.796732629043485,2371250
511553,test,0.814326566272233,967500
621715,train,0.810687391969962,2238750
621715,test,0.791010291466604,186250
930317,train,0.812441779941824,2757500
930317,test,0.785145973401829,695000
958759,train,0.820046385834942,2331250
958759,test,0.798085582881758,718750
854580,train,0.812693423382375,4068750
854580,test,0.781679775795674,520000
119687,train,0.808088642822072,2603750
119687,test,0.790373934801602,705000
710540,train,0.831812150838067,2618750
710540,test,0.822672978517917,1132500
251789,train,0.788714015716996,2175000
251789,test,0.793200008868997,940000
831311,train,0.811267184064646,2662500
831311,test,0.801349288054735,673750
400758,train,0.804620948546215,2717500
400758,test,0.802340618977596,796250
810489,train,0.802284957207661,2166250
810489,test,0.805048143709113,793750
175018,train,0.80474838807446,2540000
175018,test,0.806693563166124,916250
778192,train,0.798138910723222,2398750
778192,test,0.803445813612882,891250
320524,train,0.811013572337796,2766250
320524,test,0.779320671574178,291250
288488,train,0.809485301768795,2976250
288488,test,0.791721526231896,432500
871386,train,0.834665891195511,2322500
871386,test,0.817449886491538,662500
699829,train,0.813535014377686,2802500
699829,test,0.783475931452943,392500
964557,train,0.816658639871774,2923750
964557,test,0.806986736194377,365000
229601,train,0.825152215822694,2540000
229601,test,0.833912931683733,913750
844578,train,0.8024733238887,2811250
844578,test,0.792389579761439,521250
712561,train,0.798824356613192,2431250
712561,test,0.809280547937419,977500
868040,train,0.811304772164524,3027500
868040,test,0.78949521196658,258750
853913,train,0.803952000372169,2335000
853913,test,0.818516861139436,1181250
868784,train,0.716283323002915,2700000
868784,test,0.716351006729168,660000
633751,train,0.803847361562125,1638750
633751,test,0.804770773175645,873750
950141,train,0.812315983455987,3355000
950141,test,0.791780081212573,538750
709609,train,0.766910988755107,355000
709609,test,0.76055560714165,-60000
637945,train,0.804666925695386,3633750
637945,test,0.799635942370139,713750
730768,train,0.83464669059071,2312500
730768,test,0.819246838398543,990000
767625,train,0.812331135335126,2543750
767625,test,0.783859386951402,602500
273723,train,0.803710506784038,2573750
273723,test,0.79256793970258,941250
213770,train,0.803412521696852,2431250
213770,test,0.791658500002695,713750
397339,train,0.823198879528071,1721250
397339,test,0.8378769691256,1298750
437556,train,0.828217022641618,2286250
437556,test,0.825875494961087,936250
292442,train,0.807874363175268,3563750
292442,test,0.803731851018489,888750
883505,train,0.800747551771481,2553750
883505,test,0.808889650566415,505000
794374,train,0.807784276225464,2600000
794374,test,0.781691260166884,867500
420696,train,0.807822632573839,2985000
420696,test,0.796474524663407,518750
925615,train,0.814051047454676,3107500
925615,test,0.77328442481614,691250
731666,train,0.718801024738073,2472500
731666,test,0.710283522481438,840000
556680,train,0.838395591855166,2251250
556680,test,0.805092549944459,-72500
944592,train,0.804717131015125,3037500
944592,test,0.804370596432703,352500
585703,train,0.802490359939338,2345000
585703,test,0.809347586040297,972500
901760,train,0.81009646307588,3211250
901760,test,0.798207592841495,636250
509440,train,0.720568725278801,3280000
509440,test,0.684353037288498,935000
703033,train,0.802132002857032,2181250
703033,test,0.793973075488885,1157500
516993,train,0.810106483952276,2485000
516993,test,0.784956312839417,852500
274566,train,0.808342125572897,2340000
274566,test,0.794972644534027,951250
676170,train,0.801356957883092,3167500
676170,test,0.808878686820033,1473750
386707,train,0.825917318427383,2465000
386707,test,0.820558169840804,875000
118327,train,0.820588567399136,2765000
118327,test,0.801933765986857,572500
189182,train,0.827461565200555,2883750
189182,test,0.82886639272409,523750
344297,train,0.827389848922867,1170000
344297,test,0.830416445962573,977500
725804,train,0.816345929087097,3193750
725804,test,0.792270754800651,1118750
785830,train,0.809309154164236,4217500
785830,test,0.800382640873729,991250
679401,train,0.829923683876487,2305000
679401,test,0.823508244492279,1197500
495811,train,0.81195052708464,2755000
495811,test,0.785933495016947,488750
852342,train,0.805045268453951,2531250
852342,test,0.802718133228016,738750
640892,train,0.797877078176676,2986250
640892,test,0.796075266670162,1413750
464734,train,0.809675311492242,2166250
464734,test,0.804096257773235,1241250
992944,train,0.801437422099883,2266250
992944,test,0.813598487762499,1235000
130582,train,0.717504002574676,2622500
130582,test,0.713540827031527,736250
430882,train,0.804267492552868,2710000
430882,test,0.80205684782124,613750
327801,train,0.804900142387289,2253750
327801,test,0.803398222378587,420000
955166,train,0.791053999704679,3302500
955166,test,0.793065657038333,1048750
957194,train,0.823431372832701,2477500
957194,test,0.813672753362992,527500
774355,train,0.813252394260464,3330000
774355,test,0.822533512313941,1063750
470590,train,0.810255619491027,2506250
470590,test,0.794127088563061,-51250
651887,train,0.802570240960188,2175000
651887,test,0.806473798238647,873750
818246,train,0.812371689883585,2518750
818246,test,0.775360064131179,466250
113827,train,0.812492131060547,3400000
113827,test,0.790374792301319,890000
212959,train,0.79663570075669,2848750
212959,test,0.770835283124357,663750
875960,train,0.696338812526484,2473750
875960,test,0.687473203133843,818750
858970,train,0.80884828918013,2770000
858970,test,0.781399097763298,520000
672427,train,0.826037327815044,2483750
672427,test,0.831810158627648,778750
885779,train,0.840790042979073,2621250
885779,test,0.805656111008483,261250
222732,train,0.804419706693266,1673750
222732,test,0.819160200302134,687500
186433,train,0.800476494635304,2612500
186433,test,0.813379549709748,42500
185878,train,0.804521715513925,3725000
185878,test,0.810428648183546,647500
235635,train,0.803078473791477,2807500
235635,test,0.777565737153307,486250
988363,train,0.804948037353879,2216250
988363,test,0.812947737352247,808750
398999,train,0.799745615538529,2226250
398999,test,0.814179321320824,1135000
917915,train,0.82309397155067,1886250
917915,test,0.845165410470415,1243750
426236,train,0.837700848476072,3736250
426236,test,0.815356790932259,575000
793416,train,0.80056403010287,2217500
793416,test,0.80919106171695,1071250
